ら戳,Θユ计,Θユ肂,秨絃基,Μ絃基,程蔼基,程基,害禴基畉,Θユ秖
2022-09-01,42008490,20696930527,495.0,490.5,495.5,490.0,-14.5,93631
2022-09-02,33877655,16486942365,488.0,485.0,489.5,485.0,-5.5,71175
2022-09-05,17327720,8419762666,485.0,486.0,488.0,484.0,1.0,27611
2022-09-06,21197718,10364807027,488.5,489.0,491.5,486.5,3.0,18950
2022-09-07,38168331,18125281029,477.0,472.5,478.0,472.0,-16.5,101077
2022-09-08,35355467,16755699888,473.0,475.0,475.0,472.0,2.5,37943
2022-09-12,27181969,13268334545,485.0,486.5,491.0,485.0,11.5,26764
2022-09-13,18916557,9329113594,495.0,493.0,495.0,491.0,6.5,20511
2022-09-14,25046110,12023421519,478.5,480.0,482.5,476.0,-13.0,47333
2022-09-15,24272164,11587112712,476.0,476.5,480.0,476.0,0.0,35435
2022-09-16,41889816,19737743551,470.5,472.0,472.0,469.0,-4.5,51619
2022-09-19,20724347,9713676332,472.0,467.0,473.0,466.5,-5.0,45650
2022-09-20,23269759,11027746136,470.5,476.5,478.0,470.0,9.5,20621
2022-09-21,24686050,11641957557,473.5,471.0,475.5,468.5,-5.5,30847
2022-09-22,31417685,14524615830,462.0,464.5,468.0,459.0,-6.5,53974
2022-09-23,32804066,15005076330,458.5,455.0,460.5,455.0,-9.5,82492
2022-09-26,34856957,15560487370,443.0,446.5,454.0,443.0,-8.5,75861
2022-09-27,29570005,13260363913,449.0,448.0,451.5,446.0,1.5,29995
2022-09-28,37827459,16693442543,447.0,438.0,449.0,438.0,-10.0,78780
2022-09-29,42884163,18748910795,443.0,435.0,443.5,432.0,-3.0,70971
2022-09-30,58366820,24750796363,424.5,422.0,427.5,422.0,-13.0,87052
